,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Winde Speed,Country,Date
0,Maragogi,-9.01,-35.22,77.65,78,0,18.28,BR,1603750586
1,Guerrero Negro,27.98,-114.06,74.93,37,2,17.92,MX,1603750927
2,Atuona,-9.8,-139.03,79.12,72,90,20.38,PF,1603750585
3,Omsukchan,62.53,155.8,15.51,94,100,7.45,RU,1603750928
4,Matara,5.95,80.54,77.2,90,73,7.36,LK,1603750928
5,Rikitea,-23.12,-134.97,74.97,85,100,19.35,PF,1603750586
6,Kaitangata,-46.28,169.85,55.99,68,96,4.0,NZ,1603750928
7,Qaanaaq,77.48,-69.36,7.54,74,73,9.55,GL,1603750928
8,Ancud,-41.87,-73.82,54.0,71,20,11.41,CL,1603750928
9,Camacupa,-12.02,17.48,68.36,73,98,6.91,AO,1603750928
10,Bilibino,68.05,166.44,5.68,93,99,2.91,RU,1603750928
11,Vaini,-21.2,-175.2,77.0,78,75,9.17,TO,1603750898
12,Benicarló,40.42,0.43,54.0,61,0,8.99,ES,1603750929
13,Srednekolymsk,67.45,153.68,6.12,90,0,6.06,RU,1603750929
14,Flinders,-34.58,150.86,57.0,93,98,3.0,AU,1603750929
15,Punta Arenas,-53.15,-70.92,51.8,43,20,20.8,CL,1603750646
16,Avarua,-21.21,-159.78,75.2,69,100,14.99,CK,1603750929
17,Sandwick,60.0,-1.25,48.2,93,0,4.7,GB,1603750929
18,Launceston,-41.45,147.17,54.0,62,37,20.8,AU,1603750930
19,Albany,42.6,-73.97,51.01,83,100,4.99,US,1603750930
20,Ponta do Sol,32.67,-17.1,66.2,72,40,11.41,PT,1603750930
21,Busselton,-33.65,115.33,59.0,83,61,10.65,AU,1603750930
22,Dunedin,-45.87,170.5,52.0,74,78,7.0,NZ,1603750608
23,Kaseda-shirakame,31.42,130.32,50.0,100,0,4.7,JP,1603750930
24,Hilo,19.73,-155.09,80.6,74,90,5.82,US,1603750594
25,Saldanha,-33.01,17.94,59.0,87,12,3.36,ZA,1603750364
26,Kapaa,22.08,-159.32,84.0,59,51,4.52,US,1603750594
27,Chapais,49.78,-74.85,28.4,100,90,5.82,CA,1603750581
28,Nanortalik,60.14,-45.24,33.67,91,92,10.89,GL,1603750592
